"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","172.17.0.1","172.17.0.2","TCP","74","40134  >  3030 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=4266361555 TSecr=0 WS=128"
"2","0.000021186","172.17.0.2","172.17.0.1","TCP","74","3030  >  40134 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=1405833250 TSecr=4266361555 WS=128"
"3","0.000035020","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=4266361555 TSecr=1405833250"
"4","0.004804633","172.17.0.1","172.17.0.2","TCP","1514","[TCP segment of a reassembled PDU]"
"5","0.004811039","172.17.0.1","172.17.0.2","HTTP","158","GET /fuseki/annotations?query=CONSTRUCT+%7B%0A%3Fs+%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Foa%23hasTarget%3E+%3Fanno+.%0A%3Fs+%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Foa%23hasBody%3E+%3Fbody+.%0A%3Fbody+%3Chttp%3A%2F%2Fwww.w3.org%2F2011%2Fcontent%23chars%3E+%3Fchars+.%0A%3Fanno+%3Chttp%3A%2F%2Fpurl.org%2Fdc%2Fterms%2FisPartOf%3E+%3Fmanifest+.%0A%3Fanno+%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Foa%23hasSource%3E+%3Fsource+.%0A%3Fanno+%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Foa%23hasSelector%3E+%3Fselector+.%0A%3Fselector+%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Foa%23default%3E+%3Fdefault+.%0A%3Fdefault+%3Chttp%3A%2F%2Fwww.w3.org%2F1999%2F02%2F22-rdf-syntax-ns%23value%3E+%3Ffragment+.%0A%7D+WHERE+%7B%0A%3Fs+%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Foa%23hasTarget%3E+%3Fanno+.%0A%3Fs+%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Foa%23hasBody%3E+%3Fbody+.%0A%3Fbody+%3Chttp%3A%2F%2Fwww.w3.org%2F2011%2Fcontent%23chars%3E+%3Fchars+.%0A%3Fanno+%3Chttp%3A%2F%2Fpurl.org%2Fdc%2Fterms%2FisPartOf%3E+%3Fmanifest+.%0A%3Fanno+%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Foa%23hasSource%3E+%3Fsource+.%0AFILTER%28regex%28str%28%3Fsource%29%2C+%22iiif.ub.uni-leipzig.de%22+%29%29+.%0A%3Fanno+%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Foa%23hasSelector%3E+%3Fselector+.%0A%3Fselector+%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Foa%23default%3E+%3Fdefault+.%0A%3Fdefault+%3Chttp%3A%2F%2Fwww.w3.org%2F1999%2F02%2F22-rdf-syntax-ns%23value%3E+%3Ffragment+.%0A%7D%0A HTTP/1.1 "
"6","0.004822010","172.17.0.2","172.17.0.1","TCP","66","3030  >  40134 [ACK] Seq=1 Ack=1449 Win=31872 Len=0 TSval=1405833251 TSecr=4266361556"
"7","0.004824658","172.17.0.2","172.17.0.1","TCP","66","3030  >  40134 [ACK] Seq=1 Ack=1541 Win=31872 Len=0 TSval=1405833251 TSecr=4266361556"
"8","0.010772794","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"9","0.010795860","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=1449 Win=32128 Len=0 TSval=4266361558 TSecr=1405833253"
"10","0.010773443","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"11","0.010820448","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=2897 Win=35072 Len=0 TSval=4266361558 TSecr=1405833253"
"12","0.010773594","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"13","0.010824148","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=4345 Win=37888 Len=0 TSval=4266361558 TSecr=1405833253"
"14","0.010773694","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"15","0.010827796","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=5793 Win=40832 Len=0 TSval=4266361558 TSecr=1405833253"
"16","0.010773825","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"17","0.010831404","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=7241 Win=43776 Len=0 TSval=4266361558 TSecr=1405833253"
"18","0.010840186","172.17.0.2","172.17.0.1","TCP","1018","[TCP segment of a reassembled PDU]"
"19","0.010843540","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=8193 Win=46592 Len=0 TSval=4266361558 TSecr=1405833253"
"20","0.011042554","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"21","0.011048966","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=9641 Win=49536 Len=0 TSval=4266361558 TSecr=1405833253"
"22","0.011042836","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"23","0.011055233","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=11089 Win=52480 Len=0 TSval=4266361558 TSecr=1405833253"
"24","0.011042980","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"25","0.011058671","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=12537 Win=55296 Len=0 TSval=4266361558 TSecr=1405833253"
"26","0.011043090","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"27","0.011061647","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=13985 Win=58240 Len=0 TSval=4266361558 TSecr=1405833253"
"28","0.011043205","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"29","0.011064840","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=15433 Win=61056 Len=0 TSval=4266361558 TSecr=1405833253"
"30","0.011043314","172.17.0.2","172.17.0.1","TCP","1018","[TCP segment of a reassembled PDU]"
"31","0.011068354","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=16385 Win=64000 Len=0 TSval=4266361558 TSecr=1405833253"
"32","0.011210603","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"33","0.011215695","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=17833 Win=66944 Len=0 TSval=4266361558 TSecr=1405833253"
"34","0.011210773","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"35","0.011220992","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=19281 Win=69760 Len=0 TSval=4266361558 TSecr=1405833253"
"36","0.011210885","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"37","0.011224189","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=20729 Win=72704 Len=0 TSval=4266361558 TSecr=1405833253"
"38","0.011211009","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"39","0.011227167","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=22177 Win=75648 Len=0 TSval=4266361558 TSecr=1405833253"
"40","0.011211105","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"41","0.011230164","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=23625 Win=78464 Len=0 TSval=4266361558 TSecr=1405833253"
"42","0.011211225","172.17.0.2","172.17.0.1","TCP","1018","[TCP segment of a reassembled PDU]"
"43","0.011233272","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=24577 Win=81408 Len=0 TSval=4266361558 TSecr=1405833253"
"44","0.011370375","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"45","0.011375523","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=26025 Win=84224 Len=0 TSval=4266361558 TSecr=1405833253"
"46","0.011370529","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"47","0.011380705","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=27473 Win=87168 Len=0 TSval=4266361558 TSecr=1405833253"
"48","0.011370641","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"49","0.011383969","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=28921 Win=90112 Len=0 TSval=4266361558 TSecr=1405833253"
"50","0.011370742","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"51","0.011386997","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=30369 Win=92928 Len=0 TSval=4266361558 TSecr=1405833253"
"52","0.011370838","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"53","0.011390071","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=31817 Win=95872 Len=0 TSval=4266361558 TSecr=1405833253"
"54","0.011370943","172.17.0.2","172.17.0.1","TCP","1018","[TCP segment of a reassembled PDU]"
"55","0.011393289","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=32769 Win=98816 Len=0 TSval=4266361558 TSecr=1405833253"
"56","0.011522414","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"57","0.011526924","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=34217 Win=101632 Len=0 TSval=4266361558 TSecr=1405833253"
"58","0.011522591","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"59","0.011531573","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=35665 Win=104576 Len=0 TSval=4266361558 TSecr=1405833253"
"60","0.011522711","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"61","0.011534613","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=37113 Win=107392 Len=0 TSval=4266361558 TSecr=1405833253"
"62","0.011522828","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"63","0.011537611","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=38561 Win=110336 Len=0 TSval=4266361558 TSecr=1405833253"
"64","0.011522943","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
"65","0.011541073","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=40009 Win=113280 Len=0 TSval=4266361558 TSecr=1405833253"
"66","0.011523073","172.17.0.2","172.17.0.1","TCP","1018","[TCP segment of a reassembled PDU]"
"67","0.011544098","172.17.0.1","172.17.0.2","TCP","66","40134  >  3030 [ACK] Seq=1541 Ack=40961 Win=116096 Len=0 TSval=4266361558 TSecr=1405833253"
"68","0.011667680","172.17.0.2","172.17.0.1","TCP","1514","[TCP segment of a reassembled PDU]"
